,Issue No,Issue Date,Gazette Number,Category,Department,URL,Deleted,Archived URL,Archived Date
37,47,2023-02-02,Part II--Section 1,Notifications or Orders of specific character or of particular interest to the public issued by Secretariat Departments.,FINANCE DEPARTMENT - Market Borrowing programme of State Government by Auction,http://www.stationeryprinting.tn.gov.in/extraordinary/2023/47_Ex_II_1_2023.pdf,False,https://web.archive.org/web/20230401003312/http://www.stationeryprinting.tn.gov.in/extraordinary/2023/47_Ex_II_1_2023.pdf,2023-04-01 00:33:12
38,46,2023-01-31,Part II—Section 2,Notifications or Orders of interest to a Section of the public issued by Secretariat Departments,HOME DEPARTMENT - (Courts- III) - Constitution of a Subordinate Judge’s Court at Musiri in Tiruchirappalli District under the Tamil Nadu Civil Courts Act.,http://www.stationeryprinting.tn.gov.in/extraordinary/2023/46_Ex_II_2_2023.pdf,False,https://web.archive.org/web/20230401003316/http://www.stationeryprinting.tn.gov.in/extraordinary/2023/46_Ex_II_2_2023.pdf,2023-04-01 00:33:16
39,45,2023-01-31,Part II--Section 2,Notifications or Orders of interest to a Section of the public issued by Secretariat Departments.,LAW DEPARTMENT-- List of Notaries by Government of Tamil Nadu and in Practice at the beginning of the year 2023.,http://www.stationeryprinting.tn.gov.in/extraordinary/2023/45_Ex_II_2_2023.pdf,True,,
40,44,2023-01-31,Part II--Section 2,Notifications or Orders of interest to a Section of the public issued by Secretariat Departments.,"BACKWARD CLASSES, MOST BACKWARD CLASSES AND MINORITIES WELFARE DEPARTMENT - Appointment of Election Authority and Returning Officer of the Tamil Nadu Waqf Board (Conduct of Election For Members) Rules, 1997 under the Waqf Act.",http://www.stationeryprinting.tn.gov.in/extraordinary/2023/44_Ex_II_2_2023.pdf,False,https://web.archive.org/web/20230401003303/http://www.stationeryprinting.tn.gov.in/extraordinary/2023/44_Ex_II_2_2023.pdf,2023-04-01 00:33:03
41,43,2023-01-31,Par II--Section 2,Notifications or Orders of interest to a Section of the public issued by Secretariat Departments,HOME DEPARTMENT--[Election – Bye Elections To TNLA From 98.Erode (East) Assembly Constituency To Be Held On 27.02.2023 Election Related Duties – Exercise Of Supervisory / Disciplinary Control – Designating Police Officers -Notification Published.,http://www.stationeryprinting.tn.gov.in/extraordinary/2023/43_Ex_II_2_2023.pdf,False,https://web.archive.org/web/20230403130449/http://www.stationeryprinting.tn.gov.in/extraordinary/2023/43_Ex_II_2_2023.pdf,2023-04-03 13:04:49
42,42,2023-01-31,Part V—Section 4,Notification by the Election Commission of India,Appointment of dates for various stages of Bye-Election to Tamil Nadu Legislative Assembly from 98. Erode (East) Assembly Constituency and fixation of hours of poll to fill a vacancy caused by the death of a member,http://www.stationeryprinting.tn.gov.in/extraordinary/2023/42_Ex_V_4_2023.pdf,False,https://web.archive.org/web/20230401003303/http://www.stationeryprinting.tn.gov.in/extraordinary/2023/42_Ex_V_4_2023.pdf,2023-04-01 00:33:03
43,41,2023-01-30,Part II—Section 2,Notifications or Orders of interest to a Section of the public issued by Secretariat Departments,PUBLIC DEPARTMENT - (Law Officers) - Census 2021 - Extension of Date of Freezing of Boundaries of Administrative Units and Ban on Formation of New Units upto 30th June 2023 During Period of Census Operations - Orders - Issued.,http://www.stationeryprinting.tn.gov.in/extraordinary/2023/41_Ex_II_2_2023.pdf,True,,
44,40,2023-01-30,Part II--Section 2,Notifications or Orders of interest to a Section of the public issued by Secretariat Departments,SOCIAL WELFARE AND WOMEN EMPOWERMENT DEPARTMENT - Reconstitution of Juvenile Justice Board Constituted In Thoothukudi and Tirunelveli Districts by Appointing Pricipal Magistrate and two Members in the State of Tamil Nadu,http://www.stationeryprinting.tn.gov.in/extraordinary/2023/40_Ex_II_2_2023.pdf,False,https://web.archive.org/web/20230401003304/http://www.stationeryprinting.tn.gov.in/extraordinary/2023/40_Ex_II_2_2023.pdf,2023-04-01 00:33:04
45,39,2023-01-27,Part II—Section 1,Notifications or Orders of specific character or of particular interest to the public issued by Secretariat Departments,AGRICULTURE AND FARMERS WELFARE DEPARTMENT - Implementation of Price Support Scheme (PSS) for Procurement of Black Gram in Tamil Nadu,http://www.stationeryprinting.tn.gov.in/extraordinary/2023/39_Ex_II_1_2023.pdf,True,,
46,38,2023-01-27,Part II—Section 1,Notifications or Orders of specific character or of particular interest to the public issued by Secretariat Departments,AGRICULTURE AND FARMERS WELFARE DEPARTMENT - Implementation of Price Support Scheme (PSS) for Procurement of Green Gram in Tamil Nadu,http://www.stationeryprinting.tn.gov.in/extraordinary/2023/38_Ex_II_1_2023.pdf,True,,
47,37,2023-01-25,Part II--Section 1,Notifications or Orders of specific character or of particular interest to the public issued by Secretariat Departments,FINANCE DEPARTMENT - Market Borrowing Programme of State Government by Auction,http://www.stationeryprinting.tn.gov.in/extraordinary/2023/37_Ex_II_1_2023.pdf,False,https://web.archive.org/web/20230401003410/http://www.stationeryprinting.tn.gov.in/extraordinary/2023/37_Ex_II_1_2023.pdf,2023-04-01 00:34:10
48,36,2023-01-25,Part II--Section 1,Notifications or Orders of specific character or of particular interest to the public issued by Secretariat Departments,"SOCIAL WELFARE AND WOMEN EMPOWERMENT DEPARTMENT - Notification of Mandatory use of Aadhaar Number for Beneficiaries under Chief Minister's Girl Child Protection Scheme, under Section 7 of the Aadhaar",http://www.stationeryprinting.tn.gov.in/extraordinary/2023/36_Ex_II_1_2023.pdf,False,https://web.archive.org/web/20230401003411/http://www.stationeryprinting.tn.gov.in/extraordinary/2023/36_Ex_II_1_2023.pdf,2023-04-01 00:34:11
49,35,2023-01-25,Part VI--Section 1,"Notifications of interest to the General Public issued by Heads of Departments, Etc","THE COMMISSIONER OF LAND ADMINISTRATION CHEPAUK, CHENNAI-600 005 - Acquisition of Lands",http://www.stationeryprinting.tn.gov.in/extraordinary/2023/35_Ex_VI_1_2023.pdf,False,https://web.archive.org/web/20230401003411/http://www.stationeryprinting.tn.gov.in/extraordinary/2023/35_Ex_VI_1_2023.pdf,2023-04-01 00:34:11
50,34,2023-01-24,Part II--Section 2,Notifications or Orders of interest to a Section of the public issued by Secretariat Departments.,LABOUR WELFARE AND SKILL DEVELOPMENT DEPARTMENT - Nomination of Chairman and Members to the Tamil Nadu Fire and Match Worker's Welfare Board,http://www.stationeryprinting.tn.gov.in/extraordinary/2023/34_Ex_II_2_2023,True,,
51,33,2023-01-24,Part II--Section 2,Notifications or Orders of interest to a Section of the public issued by Secretariat Departments.,"HIGHER EDUCATION DEPARTMENT - Appointment as Vice-Chancellor of the Tamil Nadu Open University, Chennai for A certain Period under the Tamil Nadu Open University Act, 2002.",http://www.stationeryprinting.tn.gov.in/extraordinary/2023/33_Ex_II_2_2023,True,,
52,32,2023-01-24,Part II--Section 2,Notifications or Orders of interest to a Section of the public issued by Secretariat Departments.,"HIGHER EDUCATION DEPARTMENT - Appointment As The Vice-Chancellor of the Mother Teresa Women’s University, Kodaikanal for certain Period under the Mother Teresa Women’s University Act, 1984",http://www.stationeryprinting.tn.gov.in/extraordinary/2023/32_Ex_II_2_2023,True,,
53,31,2023-01-24,Part III--Section 1a,"General Statutory Rules, Notifications, Orders, Regulations, etc., issued by Secretariat Departments","FINANCE DEPARTMENT - (Salaries) - Amendment to the Tamil Nadu Transparency in Tenders Rules, 2000.",http://www.stationeryprinting.tn.gov.in/extraordinary/2023/31_Ex_III_1a_2023.pdf,False,https://web.archive.org/web/20230403130450/http://www.stationeryprinting.tn.gov.in/extraordinary/2023/31_Ex_III_1a_2023.pdf,2023-04-03 13:04:50
54,30,2023-01-23,Part V--Section 4,Notifications by the Election Commission of India,NOTIFICATIONS BY THE ELECTION COMMISSION OF INDIA - Issue of Postal Ballot to Electors above the Age of 80 Years and Electors with Physical Disability,http://www.stationeryprinting.tn.gov.in/extraordinary/2023/30_Ex_V_4_2023,True,,
55,29,2023-01-23,Part II--Section 2,Notifications or Orders of interest to a Section of the public issued by Secretariat Departments.,"HIGHWAYS AND MINOR PORTS DEPARTMENT - Levy of Tolls on the Motor Vehicles Entering Dindigul-Kodaikanal Road, Palani-Kodaikanal Road and Cochin-Kodaikanal Road at Silver Cascade etc, in Kodaikanal Area in Dindigul District certain Period under Tolls Act.",http://www.stationeryprinting.tn.gov.in/extraordinary/2023/29_Ex_II_2_2023,True,,
56,28,2023-01-23,Part VI--Section 1,"Notifications of interest to the General Public issued by Heads of Departments, Etc","THE COMMISSIONER OF LAND ADMINISTRATION CHEPAUK, CHENNAI-600 005 - Acquisition of Lands",http://www.stationeryprinting.tn.gov.in/extraordinary/2023/28_Ex_VI_1_2023.pdf,False,https://web.archive.org/web/20230401003415/http://www.stationeryprinting.tn.gov.in/extraordinary/2023/28_Ex_VI_1_2023.pdf,2023-04-01 00:34:15
57,27,2023-01-20,Part III--Section 1a,"General Statutory Rules, Notifications, Orders, Regulations, etc., issued by Secretariat Departments","FINANCE DEPARTMENT - (Salaries) - Amendments to the Tamil Nadu Transparency in Tenders Rules, 2000",http://www.stationeryprinting.tn.gov.in/extraordinary/2023/27_Ex_III_1a_2023.pdf,False,https://web.archive.org/web/20230401003415/http://www.stationeryprinting.tn.gov.in/extraordinary/2023/27_Ex_III_1a_2023.pdf,2023-04-01 00:34:15
58,26,2023-01-19,Part II--Section 2,Notifications or Orders of interest to a Section of the public issued by Secretariat Departments.,"COMMERCIAL TAXES AND REGISTRATION DEPARTMENT - Notifications under the Tamil Nadu Goods and Services Tax Act, 2017 - Amendments to Notification.",http://www.stationeryprinting.tn.gov.in/extraordinary/2023/26_Ex_II_2_2023.pdf,False,https://web.archive.org/web/20230403130451/http://www.stationeryprinting.tn.gov.in/extraordinary/2023/26_Ex_II_2_2023.pdf,2023-04-03 13:04:51
59,25,2023-01-19,Part II--Section 1,Notifications or Orders of specific character or of particular interest to the public issued by Secretariat Departments,FINANCE DEPARTMENT - Market Borrowing Programme of State Government by Auction,http://www.stationeryprinting.tn.gov.in/extraordinary/2023/25_Ex_II_1_2023,True,,
60,24,2023-01-18,Part II--Section 1,Notifications or Orders of specific character or of particular interest to the public issued by Secretariat Departments,AGRICULTURE AND FARMERS WELFARE DEPARTMENT - Implementation of Price Support Scheme (PSS) Procurement of Copra in Tamil Nadu,http://www.stationeryprinting.tn.gov.in/extraordinary/2023/24_Ex_II_1_2023.pdf,False,https://web.archive.org/web/20230401003420/http://www.stationeryprinting.tn.gov.in/extraordinary/2023/24_Ex_II_1_2023.pdf,2023-04-01 00:34:20
61,23,2023-01-18,Part VI--Section 1,"Notifications of interest to the General Public issued by Heads of Departments, Etc","THE COMMISSIONER OF LAND ADMINISTRATION CHEPAUK, CHENNAI-600 005 - Acquisition of Lands",http://www.stationeryprinting.tn.gov.in/extraordinary/2023/23_Ex_VI_1_2023.pdf,False,https://web.archive.org/web/20230401003622/http://www.stationeryprinting.tn.gov.in/extraordinary/2023/23_Ex_VI_1_2023.pdf,2023-04-01 00:36:22
62,22,2023-01-13,Part III--Section 1a,"General Statutory Rules, Notifications, Orders, Regulations, etc., issued by Secretariat Departments","SCHOOL EDUCATION DEPARTMENT - Tamil Nadu Private Schools (Regulation) Rules, 2023.",http://www.stationeryprinting.tn.gov.in/extraordinary/2023/22_Ex_III_1a_2023.pdf,False,https://web.archive.org/web/20230401003633/http://www.stationeryprinting.tn.gov.in/extraordinary/2023/22_Ex_III_1a_2023.pdf,2023-04-01 00:36:33
63,21,2023-01-13,Part II--Section 2,Notifications or Orders of interest to a Section of the public issued by Secretariat Departments.,"SCHOOL EDUCATION DEPARTMENT - Date of Coming into Force of the Tamil Nadu Private Schools (Regulation) Act, 2018 (Tamil Nadu Act 35 of 2019)",http://www.stationeryprinting.tn.gov.in/extraordinary/2023/21_Ex_II_2_2023.pdf,False,https://web.archive.org/web/20230401003642/http://www.stationeryprinting.tn.gov.in/extraordinary/2023/21_Ex_II_2_2023.pdf,2023-04-01 00:36:42
64,20,2023-01-13,Part IV--Section 1,Tamil Nadu Bills,"L.A Bill No. 4 of 2023 - The Tamil Nadu Government Servants (Conditions of Service) Amendment Act, 2023 (English)",http://www.stationeryprinting.tn.gov.in/extraordinary/2023/20_Ex_IV_1_E_2023.pdf,False,https://web.archive.org/web/20230401003542/http://www.stationeryprinting.tn.gov.in/extraordinary/2023/20_Ex_IV_1_E_2023.pdf,2023-04-01 00:35:42
65,20,2023-01-13,Part IV--Section 1,Tamil Nadu Bills,"L.A Bill No. 4 of 2023 - The Tamil Nadu Government Servants (Conditions of Service) Amendment Act, 2023 (Tamil)",http://www.stationeryprinting.tn.gov.in/extraordinary/2023/20A_Ex_IV_1_T_2023.pdf,False,https://web.archive.org/web/20230401003542/http://www.stationeryprinting.tn.gov.in/extraordinary/2023/20A_Ex_IV_1_T_2023.pdf,2023-04-01 00:35:42
